ville,date_extraction,date_observation,temperature_moy,temp_min,temp_max,humidite_moy,precipitation,vent_moyen,visibilite_moy,conditions,annee,mois,jour,saison,temp_ideale,peu_vent,peu_pluie,bonne_visibilite,score_meteo,periode_recommandee
Lyon,2025-07-04 15:22:58,2020-01-15 12:00:00,11.4,10.2,13.1,64,0.0,43.9,52.2,Partially cloudy,2020,1,15,Hiver,False,False,True,True,50,False
Lyon,2025-07-04 15:22:58,2020-01-16 12:00:00,9.7,4.5,13.7,72,0.0,29.4,43.6,Partially cloudy,2020,1,16,Hiver,False,False,True,True,50,False
Toulouse,2025-07-04 15:22:58,2020-01-16 12:00:00,10.3,7.9,13.8,81,0.081,32.2,20.7,Rain,2020,1,16,Hiver,False,False,True,True,50,False
Nice,2025-07-04 15:22:58,2020-01-16 12:00:00,10.3,7.7,14.0,70,0.0,21.8,28.0,Partially cloudy,2020,1,16,Hiver,False,False,True,True,50,False
Marseille,2025-07-04 15:22:58,2020-01-16 12:00:00,10.1,5.6,14.3,80,0.039,20.1,35.8,Rain,2020,1,16,Hiver,False,False,True,True,50,False
Paris,2025-07-04 15:22:58,2020-01-16 12:00:00,8.8,4.4,13.7,83,0.162,17.5,15.4,Rain,2020,1,16,Hiver,False,True,True,True,70,False
Paris,2025-07-04 15:22:58,2020-01-17 12:00:00,9.1,5.5,12.0,76,1.913,21.7,23.1,Rain,2020,1,17,Hiver,False,False,True,True,50,False
Nice,2025-07-04 15:22:58,2020-01-17 12:00:00,9.1,7.9,10.8,74,15.608,31.0,19.9,Rain,2020,1,17,Hiver,False,False,False,True,20,False
Toulouse,2025-07-04 15:22:58,2020-01-17 12:00:00,8.7,6.4,10.5,85,3.156,28.9,25.5,Rain,2020,1,17,Hiver,False,False,True,True,50,False
Lyon,2025-07-04 15:22:58,2020-01-17 12:00:00,9.4,6.8,11.1,78,6.599,34.5,38.8,Rain,2020,1,17,Hiver,False,False,False,True,20,False
Marseille,2025-07-04 15:22:58,2020-01-17 12:00:00,10.8,8.3,13.8,82,6.963,49.9,36.7,Rain,2020,1,17,Hiver,False,False,False,True,20,False
Paris,2025-07-04 15:22:58,2020-01-18 12:00:00,5.3,2.8,8.8,81,0.0,15.1,23.3,Partially cloudy,2020,1,18,Hiver,False,True,True,True,70,False
Lyon,2025-07-04 15:22:58,2020-01-18 12:00:00,4.7,1.2,8.7,80,0.0,15.0,34.6,Partially cloudy,2020,1,18,Hiver,False,True,True,True,70,False
Nice,2025-07-04 15:22:58,2020-01-18 12:00:00,9.5,6.8,13.7,73,1.431,20.2,32.3,Rain,2020,1,18,Hiver,False,False,True,True,50,False
Toulouse,2025-07-04 15:22:58,2020-01-18 12:00:00,5.9,1.9,10.1,78,0.0,20.6,33.7,Partially cloudy,2020,1,18,Hiver,False,False,True,True,50,False
Marseille,2025-07-04 15:22:58,2020-01-18 12:00:00,7.5,2.6,11.0,71,0.0,37.7,47.2,Partially cloudy,2020,1,18,Hiver,False,False,True,True,50,False
Paris,2025-07-04 15:22:58,2020-01-19 12:00:00,4.7,2.9,7.2,78,0.0,22.5,19.9,Partially cloudy,2020,1,19,Hiver,False,False,True,True,50,False
Marseille,2025-07-04 15:22:58,2020-01-19 12:00:00,4.4,0.8,8.7,74,0.0,22.0,35.6,Overcast,2020,1,19,Hiver,False,False,True,True,50,False
Nice,2025-07-04 15:22:58,2020-01-19 12:00:00,8.7,5.6,13.7,49,0.009,19.3,34.0,Rain,2020,1,19,Hiver,False,True,True,True,70,False
Lyon,2025-07-04 15:22:58,2020-01-19 12:00:00,3.2,1.3,6.0,75,0.0,40.4,38.7,Partially cloudy,2020,1,19,Hiver,False,False,True,True,50,False
Toulouse,2025-07-04 15:22:58,2020-01-19 12:00:00,5.9,2.3,8.9,60,0.0,23.2,47.2,Partially cloudy,2020,1,19,Hiver,False,False,True,True,50,False
Paris,2025-07-04 15:22:58,2020-01-20 12:00:00,3.4,2.1,5.9,83,0.0,19.3,14.8,Clear,2020,1,20,Hiver,False,True,True,True,70,False
Lyon,2025-07-04 15:22:58,2020-01-20 12:00:00,2.6,-0.5,6.9,72,0.0,23.9,31.6,Partially cloudy,2020,1,20,Hiver,False,False,True,True,50,False
Toulouse,2025-07-04 15:22:58,2020-01-20 12:00:00,2.0,-2.3,5.6,71,0.011,13.2,33.8,Rain,2020,1,20,Hiver,False,True,True,True,70,False
Marseille,2025-07-04 15:22:58,2020-01-20 12:00:00,6.4,4.8,9.0,63,0.186,22.2,40.6,Rain,2020,1,20,Hiver,False,False,True,True,50,False
Nice,2025-07-04 15:22:58,2020-01-20 12:00:00,11.7,8.0,13.1,38,0.0,41.0,28.7,Partially cloudy,2020,1,20,Hiver,False,False,True,True,50,False
Marseille,2025-07-04 15:22:58,2020-01-21 12:00:00,10.5,7.2,13.2,57,4.767,34.8,39.8,Rain,2020,1,21,Hiver,False,False,True,True,50,False
Toulouse,2025-07-04 15:22:58,2020-01-21 12:00:00,5.7,2.4,9.0,77,0.0,14.4,31.6,Overcast,2020,1,21,Hiver,False,True,True,True,70,False
Lyon,2025-07-04 15:22:58,2020-01-21 12:00:00,1.5,-1.4,5.5,76,0.0,9.2,14.9,Partially cloudy,2020,1,21,Hiver,False,True,True,True,70,False
Paris,2025-07-04 15:22:58,2020-01-21 12:00:00,2.2,0.3,4.8,82,0.0,12.8,13.4,Clear,2020,1,21,Hiver,False,True,True,True,70,False
Nice,2025-07-04 15:22:58,2020-01-21 12:00:00,12.3,8.9,14.2,50,0.0,43.7,25.1,Partially cloudy,2020,1,21,Hiver,False,False,True,True,50,False
Toulouse,2025-07-04 15:22:58,2020-01-22 12:00:00,8.9,6.7,13.0,85,35.051,35.3,15.5,Rain,2020,1,22,Hiver,False,False,False,True,20,False
Paris,2025-07-04 15:22:58,2020-01-22 12:00:00,0.8,-1.3,3.5,84,0.0,16.0,9.4,Partially cloudy,2020,1,22,Hiver,False,True,True,True,70,False
Lyon,2025-07-04 15:22:58,2020-01-22 12:00:00,0.5,-2.8,4.7,85,0.0,9.2,5.8,Partially cloudy,2020,1,22,Hiver,False,True,True,True,70,False
Nice,2025-07-04 15:22:58,2020-01-22 12:00:00,10.9,7.9,15.0,58,0.003,39.8,21.6,Rain,2020,1,22,Hiver,False,False,True,True,50,False
Marseille,2025-07-04 15:22:58,2020-01-22 12:00:00,13.5,11.2,15.9,57,0.012,45.0,45.7,Rain,2020,1,22,Hiver,False,False,True,True,50,False
Nice,2025-07-04 15:22:58,2020-01-23 12:00:00,11.3,7.8,15.0,67,0.0,43.7,22.2,Partially cloudy,2020,1,23,Hiver,False,False,True,True,50,False
Marseille,2025-07-04 15:22:58,2020-01-23 12:00:00,13.1,8.4,16.0,69,0.0,31.6,33.0,Overcast,2020,1,23,Hiver,False,False,True,True,50,False
Toulouse,2025-07-04 15:22:58,2020-01-23 12:00:00,11.8,8.1,13.2,80,11.483,35.1,24.6,Rain,2020,1,23,Hiver,False,False,False,True,20,False
Paris,2025-07-04 15:22:58,2020-01-23 12:00:00,1.1,-0.5,3.6,87,0.0,17.2,10.5,Partially cloudy,2020,1,23,Hiver,False,True,True,True,70,False
Lyon,2025-07-04 15:22:58,2020-01-23 12:00:00,-0.9,-2.6,0.8,95,0.0,7.3,1.7,Partially cloudy,2020,1,23,Hiver,False,True,True,False,50,False
Lyon,2025-07-04 15:22:58,2020-01-24 12:00:00,1.9,-1.6,7.5,92,0.0,7.5,2.4,Partially cloudy,2020,1,24,Hiver,False,True,True,False,50,False
Nice,2025-07-04 15:22:58,2020-01-24 12:00:00,11.4,9.6,14.1,72,0.958,35.5,17.9,Rain,2020,1,24,Hiver,False,False,True,True,50,False
Toulouse,2025-07-04 15:22:58,2020-01-24 12:00:00,10.0,7.5,13.6,84,0.0,17.8,18.5,Partially cloudy,2020,1,24,Hiver,False,True,True,True,70,False
Paris,2025-07-04 15:22:58,2020-01-24 12:00:00,0.9,-0.6,4.7,88,0.0,11.3,4.2,Partially cloudy,2020,1,24,Hiver,False,True,True,False,50,False
Marseille,2025-07-04 15:22:58,2020-01-24 12:00:00,11.4,9.7,14.2,80,5.128,23.3,25.9,Rain,2020,1,24,Hiver,False,False,False,True,20,False
Nice,2025-07-04 15:22:58,2020-01-25 12:00:00,10.9,8.8,14.1,78,0.623,22.1,24.2,Rain,2020,1,25,Hiver,False,False,True,True,50,False
Marseille,2025-07-04 15:22:58,2020-01-25 12:00:00,11.1,9.3,14.1,85,0.193,17.8,24.0,Rain,2020,1,25,Hiver,False,True,True,True,70,False
Toulouse,2025-07-04 15:22:58,2020-01-25 12:00:00,9.6,7.6,12.7,84,0.0,23.5,19.8,Overcast,2020,1,25,Hiver,False,False,True,True,50,False
Paris,2025-07-04 15:22:58,2020-01-25 12:00:00,2.5,-0.9,6.3,93,0.0,7.6,3.1,Overcast,2020,1,25,Hiver,False,True,True,False,50,False
Lyon,2025-07-04 15:22:58,2020-01-25 12:00:00,5.8,1.0,11.8,86,0.0,11.2,9.1,Overcast,2020,1,25,Hiver,False,True,True,True,70,False
Paris,2025-07-04 15:22:58,2020-01-26 12:00:00,5.7,2.6,8.5,92,0.007,17.1,7.5,Rain,2020,1,26,Hiver,False,True,True,True,70,False
Marseille,2025-07-04 15:22:58,2020-01-26 12:00:00,10.0,8.3,12.2,87,11.059,16.5,20.1,Rain,2020,1,26,Hiver,False,True,False,True,40,False
Lyon,2025-07-04 15:22:58,2020-01-26 12:00:00,8.1,5.6,11.7,86,1.571,19.5,21.2,Rain,2020,1,26,Hiver,False,True,True,True,70,False
Toulouse,2025-07-04 15:22:58,2020-01-26 12:00:00,8.0,5.2,11.6,90,0.167,11.0,17.8,Rain,2020,1,26,Hiver,False,True,True,True,70,False
Nice,2025-07-04 15:22:58,2020-01-26 12:00:00,10.8,8.1,14.7,79,0.009,18.0,18.2,Rain,2020,1,26,Hiver,False,True,True,True,70,False
Toulouse,2025-07-04 15:22:58,2020-01-27 12:00:00,5.7,1.6,10.6,91,0.885,14.1,14.5,Rain,2020,1,27,Hiver,False,True,True,True,70,False
Lyon,2025-07-04 15:22:58,2020-01-27 12:00:00,7.1,3.1,10.5,85,0.172,35.3,22.8,Rain,2020,1,27,Hiver,False,False,True,True,50,False
Paris,2025-07-04 15:22:58,2020-01-27 12:00:00,8.7,8.1,9.1,90,6.321,23.2,15.5,Rain,2020,1,27,Hiver,False,False,False,True,20,False
Marseille,2025-07-04 15:22:58,2020-01-27 12:00:00,8.6,3.0,13.1,89,0.039,18.1,17.0,Rain,2020,1,27,Hiver,False,True,True,True,70,False
Nice,2025-07-04 15:22:58,2020-01-27 12:00:00,10.4,6.7,14.2,71,0.0,30.9,29.9,Partially cloudy,2020,1,27,Hiver,False,False,True,True,50,False
Nice,2025-07-04 15:22:58,2020-01-28 12:00:00,12.5,8.8,16.7,67,0.009,40.6,29.7,Rain,2020,1,28,Hiver,False,False,True,True,50,False
Paris,2025-07-04 15:22:58,2020-01-28 12:00:00,6.8,5.3,8.1,74,0.677,32.1,24.7,Rain,2020,1,28,Hiver,False,False,True,True,50,False
Lyon,2025-07-04 15:22:58,2020-01-28 12:00:00,8.6,5.5,11.3,75,1.103,33.5,50.2,Rain,2020,1,28,Hiver,False,False,True,True,50,False
Marseille,2025-07-04 15:22:58,2020-01-28 12:00:00,10.5,7.1,13.9,80,0.0,32.5,28.4,Partially cloudy,2020,1,28,Hiver,False,False,True,True,50,False
Toulouse,2025-07-04 15:22:58,2020-01-28 12:00:00,9.0,5.3,12.2,84,0.977,29.9,21.4,Rain,2020,1,28,Hiver,False,False,True,True,50,False
Nice,2025-07-04 15:22:58,2020-01-29 12:00:00,12.9,9.1,18.0,58,0.0,41.9,32.8,Partially cloudy,2020,1,29,Hiver,False,False,True,True,50,False
Paris,2025-07-04 15:22:58,2020-01-29 12:00:00,7.1,5.3,9.6,76,0.028,20.8,25.1,Rain,2020,1,29,Hiver,False,False,True,True,50,False
